review_id	dependency	root_scope	manifest_origin	release_assessment	source_evidence	decision
FR-001	anyhow	A/B/C	workspace plus seven roots	Context and Result propagation are used in release paths	services/sentinel-dashboard-backend/src/wt.rs:27-29	needed
FR-002	clap	A/B/C	six roots request derive	Parser derives define release CLIs	services/sentinel-daemon/src/main.rs:17	needed
FR-003	serde	A/B/C	six roots request derive	Serialize and Deserialize derives define persisted and API contracts	services/sentinel-gaia-loop/src/storage.rs:15	needed
FR-004	serde_json	A/B/C	six roots use defaults	JSON encode and decode are release behavior	services/sentinel-dashboard-backend/src/wt.rs:78-82	needed
FR-005	sentinel-common	A/B/C	six path dependencies	Shared IDs, events, config, and cluster contracts are imported directly	services/sentinel-daemon/src/orchestrator.rs:21-24	needed
FR-006	tokio	A/B/C	workspace features=full	Release uses macros, runtime, net, process, signal, sync, time and io-util; repo search finds no tokio fs, io-std, or test-util release API	Cargo.toml:44; services/sentinel-daemon/src/signal.rs:3-10; services/sentinel-gaia-loop/src/session.rs:10-11	unneeded-features
FR-007	tracing-subscriber	A/B/C	workspace features=env-filter,json,fmt	fmt, EnvFilter, and JSON formatting are used; sentinel-telemetry constructs fmt::layer().json() in release library code	Cargo.toml:49; crates/sentinel-telemetry/src/logging.rs:45,80	required-feature-json
FR-008	tracing	A/B/C	workspace defaults	Event macros and instrument attributes are used throughout release crates	crates/sentinel-zenoh/src/lib.rs:63	needed
FR-009	sentinel-limbo	A/B/C	five path dependencies	EventStore is imported by daemon, projection, Gaia loop, and nightrun paths	services/sentinel-projection/src/main.rs:15	needed
FR-010	uuid	A/B/C	workspace features=v4,v7,serde	Both v4 and v7 constructors and serialized UUID-bearing contracts are present	services/sentinel-daemon/src/snapshot.rs:167; services/sentinel-daemon/src/provision_exec.rs:149	needed
FR-011	sha2	A/B/C	workspace; sentinel-common normal plus sentinel-redb dev	SHA-256 is used for release owner-snapshot checksums and TLS certificate digests	crates/sentinel-common/src/fencing.rs:18,224; services/sentinel-dashboard-backend/src/tls.rs:92	needed
FR-012	toml	A/B/C	workspace default	Both parsing and serialization are release behavior	services/sentinel-daemon/src/config.rs:702; services/sentinel-daemon/src/config_persist.rs:61	needed
FR-013	async-nats	A	workspace default	JetStream client and subscriber APIs are release behavior	services/sentinel-dashboard-backend/src/event_sub.rs:203-222	needed
FR-014	reqwest	A/B	per-root json,rustls-tls and daemon/ctl blocking	Async JSON, blocking JSON, and rustls clients are all used	services/sentinel-daemon/src/evolution_task.rs:84-228; services/sentinel-daemon/src/orchestrator.rs:7275-7292; services/sentinel-ctl/src/main.rs:435-450	needed
FR-015	futures	A	default features	Only StreamExt is imported; the default futures-executor feature has no source consumer	services/sentinel-dashboard-backend/src/event_sub.rs:21; services/sentinel-daemon/src/nats_consumer.rs:95	unneeded-feature-executor
FR-016	sentinel-telemetry	A/C	three path dependencies	Daemon uses MetricsRegistry; projection service and nightrun have no source reference	services/sentinel-daemon/src/ebpf.rs:162; services/sentinel-projection/Cargo.toml:17; services/sentinel-nightrun/Cargo.toml:21	mixed
FR-017	sentinel-projection	A	three path dependencies	Projection service and daemon use ReadModelStore/worker; dashboard backend has no source reference	services/sentinel-projection/src/main.rs:16; services/sentinel-daemon/src/runtime_health.rs:8; services/sentinel-dashboard-backend/Cargo.toml:21	mixed
FR-018	rusqlite	A/C	bundled in dashboard and nightrun	Read-only and event query connections are release behavior; bundled SQLite is the current deployment contract	services/sentinel-dashboard-backend/src/projection.rs:17-25; services/sentinel-nightrun/Cargo.toml:31	needed
FR-019	libc	A/C	Gaia loop and nightrun defaults	Process-group kill and localtime_r require libc	services/sentinel-gaia-loop/src/session.rs:495; services/sentinel-nightrun/src/shift.rs:50-54	needed
FR-020	thiserror	A	workspace default	Typed release errors use the derive macro	services/sentinel-dashboard-backend/src/codec.rs:24	needed
FR-021	sentinel-hippocampus	A/C	daemon and nightrun path dependencies	Episode and memory services are imported directly	services/sentinel-daemon/src/episode_producer.rs:10; services/sentinel-nightrun/src/runner.rs:15-19	needed
FR-022	rustls	A	dashboard default	The AWS-LC provider is installed explicitly and shared by HTTPS and WebTransport	services/sentinel-dashboard-backend/src/main.rs:25-26	needed-provider-mixed
FR-023	zstd	A	dashboard default	Only encode_all/decode_all are used; legacy, arrays, and zdict_builder APIs are absent	services/sentinel-dashboard-backend/src/codec.rs:47-103	unneeded-default-features
FR-024	rcgen	A	dashboard default	Certificate generation and PEM serialization require crypto, ring, and pem in the current provider setup	services/sentinel-dashboard-backend/src/tls.rs:83-97	needed
FR-025	wtransport	A	dashboard default=ring,self-signed	Endpoint and PEM identity APIs are used; wtransport self-signed helpers are not used because rcgen is called directly	services/sentinel-dashboard-backend/src/wt.rs:17-42; services/sentinel-dashboard-backend/src/tls.rs:79-97	unneeded-feature-self-signed
FR-026	redb	A	workspace default	The daemon control-plane store directly uses Database and table APIs	services/sentinel-daemon/src/controlplane/store.rs:9	needed
FR-027	tower-http	A	dashboard features=fs,cors	ServeDir and CorsLayer are both used by the release router	services/sentinel-dashboard-backend/src/lib.rs:265; services/sentinel-dashboard-backend/src/lib.rs:392-394	needed
FR-028	chrono	A	daemon default	Local clock, UTC date, weekday, and duration APIs are used; default-feature minimization needs a compile proof	services/sentinel-daemon/src/shift.rs:11-40; services/sentinel-daemon/src/snapshot.rs:11	needed-investigate-features
FR-029	tower	A	dashboard normal default plus dev util	Direct tower APIs occur only in tests; axum still brings tower transitively for release	services/sentinel-dashboard-backend/Cargo.toml:41; services/sentinel-dashboard-backend/tests/auth_routes.rs:7	unneeded-direct-normal
FR-030	axum	A	dashboard default	Router, JSON, Query, Path, State, and ConnectInfo are used; Form is absent from release source	services/sentinel-dashboard-backend/src/cockpit.rs:497-517; services/sentinel-dashboard-backend/src/auth.rs:224	unneeded-feature-form
