name	version	primary_reachability	reachable_in_roots	immediate_forcers	workspace_roots	release_roots	closure_edges	closure_basis	decision	constraint_assessment	revisit_condition
cpufeatures	0.2.17	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun	aes@0.8.4,blake3@1.8.3,curve25519-dalek@4.1.3,keccak@0.1.6,sha1@0.10.6,sha2@0.10.9	sentinel-cluster-control,sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-ecs,sentinel-fs,sentinel-gaia,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-microvm,sentinel-nightrun,sentinel-runtime,sentinel-sandbox,sentinel-wasm,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun	110	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
cpufeatures	0.3.0	release-normal	sentinel-daemon	chacha20@0.10.0	sentinel-daemon,sentinel-ecs,sentinel-runtime,sentinel-wasm	sentinel-daemon	9	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
criterion	0.5.1	dev-bench-only		sentinel-telemetry@0.1.0,sentinel-zenoh@0.1.0	sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-ecs,sentinel-fs,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	38	active-all-target-tree	align-version	direct 0.5 constraints in sentinel-telemetry and sentinel-zenoh; workspace 0.8.2 exposes html_reports and async_tokio	#632 compile and benchmark gates reject the 0.8.2 API
criterion	0.8.2	dev-bench-only		sentinel-daemon@0.1.0,sentinel-ecs@0.1.0,sentinel-fs@0.1.0,sentinel-gaia-memory@0.1.0,sentinel-hippocampus@0.1.0,sentinel-limbo@0.1.0,sentinel-nightrun@0.1.0,sentinel-projection@0.1.0,sentinel-runtime@0.1.0,sentinel-sandbox@0.1.0,sentinel-wasm@0.1.0	sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-ecs,sentinel-fs,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-hippocampus,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-projection,sentinel-projection-service,sentinel-runtime,sentinel-sandbox,sentinel-wasm	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	39	active-all-target-tree	align-version	direct 0.5 constraints in sentinel-telemetry and sentinel-zenoh; workspace 0.8.2 exposes html_reports and async_tokio	#632 compile and benchmark gates reject the 0.8.2 API
criterion-plot	0.5.0	dev-bench-only		criterion@0.5.1	sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-ecs,sentinel-fs,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	39	active-all-target-tree	align-version	transitive consequence of the Criterion 0.5/0.8 split	Criterion cannot be aligned
criterion-plot	0.8.2	dev-bench-only		criterion@0.8.2	sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-ecs,sentinel-fs,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-hippocampus,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-projection,sentinel-projection-service,sentinel-runtime,sentinel-sandbox,sentinel-wasm	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	40	active-all-target-tree	align-version	transitive consequence of the Criterion 0.5/0.8 split	Criterion cannot be aligned
embedded-io	0.4.0	optional-disabled		postcard@1.1.3	sentinel-daemon,sentinel-ecs,sentinel-runtime,sentinel-wasm	sentinel-daemon	36	disabled-metadata	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
embedded-io	0.6.1	optional-disabled		postcard@1.1.3	sentinel-daemon,sentinel-ecs,sentinel-runtime,sentinel-wasm	sentinel-daemon	36	disabled-metadata	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
fixedbitset	0.4.2	release-normal	sentinel-daemon	petgraph@0.6.5	sentinel-daemon,sentinel-ecs,sentinel-runtime,sentinel-wasm	sentinel-daemon	15	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
fixedbitset	0.5.7	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	bevy_ecs@0.18.1,petgraph@0.8.3	sentinel-bio,sentinel-cluster-control,sentinel-common,sentinel-console-plane,sentinel-daemon,sentinel-dashboard-backend,sentinel-ebpf,sentinel-ecs,sentinel-fs,sentinel-gaia,sentinel-gaia-loop,sentinel-gaia-memory,sentinel-hippocampus,sentinel-limbo,sentinel-microvm,sentinel-nightrun,sentinel-physics,sentinel-projection,sentinel-projection-service,sentinel-redb,sentinel-runtime,sentinel-sandbox,sentinel-telemetry,sentinel-wasm,sentinel-zenoh	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia,sentinel-gaia-loop,sentinel-nightrun,sentinel-projection-service	77	active-all-target-tree	investigate	independent upstream constraints; semver/API compatibility not proven	all immediate forcers permit one tested version
