row_id	dependency	version_or_versions	primary_reachability	affected_direct_roots	root_tiers	manifest_locations	features_pulled	features_needed	feature_origin	binary_contribution	duplicate_forced_by	decision	expected_effect	evidence_paths	revisit_condition
DEP-001	tokio	1.52.3	release-normal	six release roots	A,B,C	Cargo.toml:44	full	macros,rt-multi-thread,net,process,signal,sync,time,io-util	workspace full feature	top-20: dashboard 242.3KiB; gaia-loop 172.2KiB; ctl 76.8KiB; below top-20 in daemon/nightrun		prune-features	remove fs,io-std,test-util and other unused full-only units from release resolution	feature-review.tsv#FR-006; trees/sentinel-daemon.features.txt	Re-evaluate if a release path adds tokio fs, standard IO, or test-util APIs.
DEP-002	tracing-subscriber	0.3.22	release-normal	five release roots	A,C	Cargo.toml:49	env-filter,json,fmt	env-filter,fmt	workspace feature list	top-20: projection 136.1KiB; nightrun 132.6KiB; gaia-loop 123.8KiB; dashboard 117.5KiB; below top-20 in daemon		prune-features	remove JSON formatter code that no release root invokes	feature-review.tsv#FR-007	Re-evaluate when structured JSON logging is enabled in a release binary.
DEP-003	futures	0.3.32	release-normal	sentinel-daemon,sentinel-dashboard-backend,sentinel-gaia-loop	A	services/sentinel-daemon/Cargo.toml:48; services/sentinel-dashboard-backend/Cargo.toml:58; services/sentinel-gaia-loop/Cargo.toml:23	default,executor	std,async-await,StreamExt support	three default declarations	below top-20 in all three affected roots		prune-features	avoid compiling futures-executor where only StreamExt is consumed	feature-review.tsv#FR-015	Re-evaluate if a release path calls futures::executor.
DEP-004	zstd	0.13.3	release-normal	sentinel-dashboard-backend	A	services/sentinel-dashboard-backend/Cargo.toml:52	default,legacy,arrays,zdict_builder	stream encode/decode	default feature	below dashboard top-20		prune-features	remove unused legacy, array, and dictionary-builder bindings	feature-review.tsv#FR-023	Re-evaluate if dictionary training, array APIs, or legacy frame support is added.
DEP-005	wtransport	0.6.1	release-normal	sentinel-dashboard-backend	A	services/sentinel-dashboard-backend/Cargo.toml:55	default,ring,self-signed	ring and endpoint/PEM support	default feature	dashboard top-20: 172.8KiB / 1.3% text		prune-features	remove redundant wtransport self-signed helper path and its feature edge	feature-review.tsv#FR-025	Re-evaluate if the backend switches from crate-local rcgen to wtransport self-signed helpers.
DEP-006	tower	0.5.3	release-normal	sentinel-dashboard-backend	A	services/sentinel-dashboard-backend/Cargo.toml:41,63	direct normal default; dev util	dev util only	direct normal plus dev dependency	below dashboard top-20		prune-features	remove the unused direct normal edge while retaining the dev ServiceExt contract	feature-review.tsv#FR-029	Re-evaluate if release source imports tower directly.
DEP-007	axum	0.8.9	release-normal	sentinel-dashboard-backend	A	services/sentinel-dashboard-backend/Cargo.toml:39	default including form	http1,json,matched-path,original-uri,query,tokio,tower-log,tracing	default feature	below dashboard top-20		prune-features	disable the unused Form extractor feature with an explicit release feature set	feature-review.tsv#FR-030	Re-evaluate if a release route accepts form-urlencoded payloads.
DEP-008	sentinel-common	0.1.0	release-normal	sentinel-projection-service	A	services/sentinel-projection/Cargo.toml:14	direct path dependency	none in service source	direct manifest edge	projection top-20: 7.4KiB / 0.2% text		prune-features	remove one unused direct compile edge; transitive contracts remain owned by sentinel-projection and sentinel-limbo	feature-review.tsv#FR-005; services/sentinel-projection/src/main.rs	Re-evaluate if the service wrapper imports a sentinel-common API.
DEP-009	sentinel-projection	0.1.0	release-normal	sentinel-dashboard-backend	A	services/sentinel-dashboard-backend/Cargo.toml:21	direct path dependency	none in backend source	direct manifest edge	below dashboard top-20		prune-features	remove an unused direct edge; backend projection queries are implemented locally with rusqlite	feature-review.tsv#FR-017; services/sentinel-dashboard-backend/src/projection.rs	Re-evaluate if the backend adopts ReadModelStore APIs.
DEP-010	sentinel-telemetry	0.1.0	release-normal	sentinel-nightrun	C	services/sentinel-nightrun/Cargo.toml:21	direct path dependency	none in nightrun source	direct manifest edge	nightrun top-20: 16.7KiB / 0.4% text		prune-features	remove an unused packaged-binary dependency	feature-review.tsv#FR-016; services/sentinel-nightrun/src	Re-evaluate if nightrun emits through MetricsRegistry.
DEP-011	criterion,criterion-plot	0.5.1/0.5.0 and 0.8.2/0.8.2	dev-bench-only	workspace benches		Cargo.toml:56; crates/sentinel-telemetry/Cargo.toml:21; crates/sentinel-zenoh/Cargo.toml:30	html_reports and async_tokio	same features available in 0.8.2	two crates bypass workspace dependency	N/A	criterion immediate forcers in duplicate-versions.tsv	align-version	collapse the dev-only Criterion and criterion-plot version pairs	duplicate-versions.tsv	Re-evaluate if a 0.5-only benchmark API is found during #632 compile and benchmark gates.
DEP-012	rustls,rcgen,wtransport	0.23.37/0.13.2/0.6.1	release-normal	sentinel-dashboard-backend	A	services/sentinel-dashboard-backend/Cargo.toml:43-55	AWS-LC and ring provider families	one provider family plus PEM and QUIC support	independent defaults	dashboard top-20: rustls 748.4KiB; wtransport 172.8KiB; rcgen below top-20		investigate	quantify whether provider alignment can remove one crypto backend without changing TLS behavior	feature-review.tsv#FR-022; feature-review.tsv#FR-024; feature-review.tsv#FR-025	Promote to align-version/features only after TLS, QUIC, and certificate generation compile and roundtrip proofs.
DEP-013	sentinel-telemetry	0.1.0	release-normal	sentinel-projection-service	A	services/sentinel-projection/Cargo.toml:17,24-25	direct dependency plus telemetry forwarding feature	no direct API; forwarding contract remains	feature forwarding	projection top-20: 20.7KiB / 0.6% text		investigate	determine whether the public telemetry feature is intentional or dead before removal	feature-review.tsv#FR-016	Promote only after owner decision on the service telemetry feature contract.
